season,city,date,team1,venue
2009,Durban,1/5/2009,Royal Challengers Bangalore,Kingsmead
2009,Port Elizabeth,2/5/2009,Deccan Chargers,St George's Park
2009,Johannesburg,2/5/2009,Chennai Super Kings,New Wanderers Stadium
2009,Port Elizabeth,3/5/2009,Kolkata Knight Riders,St George's Park
2009,Johannesburg,3/5/2009,Mumbai Indians,New Wanderers Stadium
2009,East London,4/5/2009,Chennai Super Kings,Buffalo Park
2009,Durban,5/5/2009,Rajasthan Royals,Kingsmead
2009,Durban,5/5/2009,Kolkata Knight Riders,Kingsmead
2009,Centurion,6/5/2009,Deccan Chargers,SuperSport Park
2009,Centurion,7/5/2009,Royal Challengers Bangalore,SuperSport Park
2009,Centurion,7/5/2009,Chennai Super Kings,SuperSport Park
2009,East London,8/5/2009,Mumbai Indians,Buffalo Park
2009,Kimberley,9/5/2009,Deccan Chargers,De Beers Diamond Oval
2009,Kimberley,9/5/2009,Rajasthan Royals,De Beers Diamond Oval
2009,Port Elizabeth,10/5/2009,Mumbai Indians,St George's Park
2009,Johannesburg,10/5/2009,Kolkata Knight Riders,New Wanderers Stadium
2009,Kimberley,11/5/2009,Deccan Chargers,De Beers Diamond Oval
2009,Centurion,12/5/2009,Kolkata Knight Riders,SuperSport Park
2009,Centurion,12/5/2009,Kings XI Punjab,SuperSport Park
2009,Durban,13/05/09,Delhi Daredevils,Kingsmead
2009,Durban,14/05/09,Chennai Super Kings,Kingsmead
2009,Durban,14/05/09,Rajasthan Royals,Kingsmead
2009,Bloemfontein,15/05/09,Delhi Daredevils,OUTsurance Oval
2009,Port Elizabeth,16/05/09,Mumbai Indians,St George's Park
2009,Johannesburg,16/05/09,Kolkata Knight Riders,New Wanderers Stadium
2009,Johannesburg,17/05/09,Kings XI Punjab,New Wanderers Stadium
2009,Bloemfontein,17/05/09,Delhi Daredevils,OUTsurance Oval
2009,Centurion,18/05/09,Chennai Super Kings,SuperSport Park
2009,Johannesburg,19/05/09,Delhi Daredevils,New Wanderers Stadium
2009,Durban,20/05/09,Rajasthan Royals,Kingsmead
2009,Durban,20/05/09,Chennai Super Kings,Kingsmead
2009,Centurion,21/05/09,Mumbai Indians,SuperSport Park
2009,Centurion,21/05/09,Royal Challengers Bangalore,SuperSport Park
2009,Centurion,22/05/09,Delhi Daredevils,SuperSport Park
2009,Johannesburg,23/05/09,Chennai Super Kings,New Wanderers Stadium
2009,Johannesburg,24/05/09,Deccan Chargers,New Wanderers Stadium
2010,Mumbai,12/3/2010,Kolkata Knight Riders,Dr DY Patil Sports Academy
2010,Mumbai,13/03/10,Mumbai Indians,Brabourne Stadium
2010,Chandigarh,13/03/10,Kings XI Punjab,"Punjab Cricket Association Stadium, Mohali"
2010,Kolkata,14/03/10,Royal Challengers Bangalore,Eden Gardens
2010,Chennai,14/03/10,Deccan Chargers,"MA Chidambaram Stadium, Chepauk"
2010,Ahmedabad,15/03/10,Rajasthan Royals,"Sardar Patel Stadium, Motera"
2010,Bangalore,16/03/10,Kings XI Punjab,M Chinnaswamy Stadium
2010,Kolkata,16/03/10,Chennai Super Kings,Eden Gardens
2010,Delhi,17/03/10,Mumbai Indians,Feroz Shah Kotla
2010,Bangalore,18/03/10,Rajasthan Royals,M Chinnaswamy Stadium
2010,Delhi,19/03/10,Delhi Daredevils,Feroz Shah Kotla
2010,Cuttack,19/03/10,Deccan Chargers,Barabati Stadium
2010,Ahmedabad,20/03/10,Rajasthan Royals,"Sardar Patel Stadium, Motera"
2010,Mumbai,20/03/10,Mumbai Indians,Brabourne Stadium
2010,Cuttack,21/03/10,Deccan Chargers,Barabati Stadium
2010,Chennai,21/03/10,Kings XI Punjab,"MA Chidambaram Stadium, Chepauk"
2010,Mumbai,22/03/10,Kolkata Knight Riders,Brabourne Stadium
2010,Bangalore,23/03/10,Royal Challengers Bangalore,M Chinnaswamy Stadium
2010,Chandigarh,24/03/10,Rajasthan Royals,"Punjab Cricket Association Stadium, Mohali"
2010,Mumbai,25/03/10,Chennai Super Kings,Brabourne Stadium
2010,Ahmedabad,26/03/10,Deccan Chargers,"Sardar Patel Stadium, Motera"
2010,Chandigarh,27/03/10,Kolkata Knight Riders,"Punjab Cricket Association Stadium, Mohali"
2010,Bangalore,25/03/10,Delhi Daredevils,M Chinnaswamy Stadium
2010,Ahmedabad,28/03/10,Rajasthan Royals,"Sardar Patel Stadium, Motera"
2010,Mumbai,28/03/10,Mumbai Indians,Dr DY Patil Sports Academy
2010,Delhi,29/03/10,Delhi Daredevils,Feroz Shah Kotla
2010,Mumbai,30/03/10,Kings XI Punjab,Brabourne Stadium
2010,Chennai,31/03/10,Royal Challengers Bangalore,"MA Chidambaram Stadium, Chepauk"
2010,Delhi,31/03/10,Delhi Daredevils,Feroz Shah Kotla
2010,Kolkata,1/4/2010,Kolkata Knight Riders,Eden Gardens
2010,Chandigarh,2/4/2010,Kings XI Punjab,"Punjab Cricket Association Stadium, Mohali"
2010,Chennai,3/4/2010,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk"
2010,Mumbai,3/4/2010,Mumbai Indians,Brabourne Stadium
2010,Kolkata,4/4/2010,Kolkata Knight Riders,Eden Gardens
2010,Delhi,4/4/2010,Delhi Daredevils,Feroz Shah Kotla
2010,Nagpur,5/4/2010,Rajasthan Royals,"Vidarbha Cricket Association Stadium, Jamtha"
2010,Chennai,6/4/2010,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk"
2010,Jaipur,7/4/2010,Kings XI Punjab,Sawai Mansingh Stadium
2010,Kolkata,7/4/2010,Kolkata Knight Riders,Eden Gardens
2010,Bangalore,8/4/2010,Royal Challengers Bangalore,M Chinnaswamy Stadium
2010,Chandigarh,9/4/2010,Mumbai Indians,"Punjab Cricket Association Stadium, Mohali"
2010,Nagpur,10/4/2010,Chennai Super Kings,"Vidarbha Cricket Association Stadium, Jamtha"
2010,Bangalore,10/4/2010,Kolkata Knight Riders,M Chinnaswamy Stadium
2010,Delhi,11/4/2010,Delhi Daredevils,Feroz Shah Kotla
2010,Jaipur,11/4/2010,Mumbai Indians,Sawai Mansingh Stadium
2010,Nagpur,12/4/2010,Deccan Chargers,"Vidarbha Cricket Association Stadium, Jamtha"
2010,Mumbai,13/04/10,Mumbai Indians,Brabourne Stadium
2010,Chennai,13/04/10,Kolkata Knight Riders,"MA Chidambaram Stadium, Chepauk"
2010,Jaipur,14/04/10,Rajasthan Royals,Sawai Mansingh Stadium
2010,Chennai,15/04/10,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk"
2010,Dharamsala,16/04/10,Kings XI Punjab,Himachal Pradesh Cricket Association Stadium
2010,Bangalore,17/04/10,Mumbai Indians,M Chinnaswamy Stadium
2010,Kolkata,17/04/10,Rajasthan Royals,Eden Gardens
2010,Dharamsala,18/04/10,Kings XI Punjab,Himachal Pradesh Cricket Association Stadium
2010,Delhi,18/04/10,Deccan Chargers,Feroz Shah Kotla
2010,Kolkata,19/04/10,Mumbai Indians,Eden Gardens
2010,Mumbai,21/04/10,Mumbai Indians,Dr DY Patil Sports Academy
2010,Mumbai,22/04/10,Chennai Super Kings,Dr DY Patil Sports Academy
2010,Mumbai,24/04/10,Deccan Chargers,Dr DY Patil Sports Academy
2010,Mumbai,25/04/10,Chennai Super Kings,Dr DY Patil Sports Academy
2011,Chennai,8/4/2011,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk"
2011,Hyderabad,9/4/2011,Deccan Chargers,"Rajiv Gandhi International Stadium, Uppal"
2011,Kochi,9/4/2011,Kochi Tuskers Kerala,Nehru Stadium
2011,Delhi,10/4/2011,Delhi Daredevils,Feroz Shah Kotla
2011,Mumbai,10/4/2011,Kings XI Punjab,Dr DY Patil Sports Academy
2011,Kolkata,11/4/2011,Kolkata Knight Riders,Eden Gardens
2011,Jaipur,12/4/2011,Delhi Daredevils,Sawai Mansingh Stadium
2011,Bangalore,12/4/2011,Royal Challengers Bangalore,M Chinnaswamy Stadium
2011,Chandigarh,13/04/11,Chennai Super Kings,"Punjab Cricket Association Stadium, Mohali"
2011,Mumbai,13/04/11,Kochi Tuskers Kerala,Dr DY Patil Sports Academy
2011,Hyderabad,14/04/11,Deccan Chargers,"Rajiv Gandhi International Stadium, Uppal"
2011,Jaipur,15/04/11,Rajasthan Royals,Sawai Mansingh Stadium
2011,Mumbai,15/04/11,Mumbai Indians,Wankhede Stadium
2011,Chennai,16/04/11,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk"
2011,Hyderabad,16/04/11,Deccan Chargers,"Rajiv Gandhi International Stadium, Uppal"
2011,Mumbai,17/04/11,Pune Warriors,Dr DY Patil Sports Academy
2011,Kolkata,17/04/11,Rajasthan Royals,Eden Gardens
2011,Kochi,18/04/11,Chennai Super Kings,Nehru Stadium
2011,Delhi,19/04/11,Deccan Chargers,Feroz Shah Kotla
2011,Mumbai,20/04/11,Pune Warriors,Wankhede Stadium
2011,Kolkata,20/04/11,Kochi Tuskers Kerala,Eden Gardens
2011,Chandigarh,21/04/11,Kings XI Punjab,"Punjab Cricket Association Stadium, Mohali"
2011,Mumbai,22/04/11,Mumbai Indians,Wankhede Stadium
2011,Kolkata,22/04/11,Kolkata Knight Riders,Eden Gardens
2011,Delhi,23/04/11,Delhi Daredevils,Feroz Shah Kotla
2011,Hyderabad,24/04/11,Mumbai Indians,"Rajiv Gandhi International Stadium, Uppal"
2011,Jaipur,24/04/11,Kochi Tuskers Kerala,Sawai Mansingh Stadium
